No.,Slop_angle,Coefficient restitution,Friction Angle,ĵ_W,ĵ_B&G,ĵ_A,ĵ_R2,X_ave,X_95,X_cv,Z_ave,Z_95,Z_cv,R/T
388,60,0.3,20,0.718516797,0.301511345,0.157048432,0.405121673,48.65394986,55.02403966,0.124936077,8.054307098,16.89129481,0.60406994,0.01452614
389,60,0.3,20,0.752255969,0.313727903,0.170552898,0.408827807,56.79583337,80.76037927,0.247805714,10.52449725,29.69818308,0.758073347,0.04225976
390,60,0.3,20,0.784225984,0.316227766,0.150987636,0.361564983,54.42146267,78.77145146,0.202152607,9.175995567,16.85595273,0.516683861,0.02890892
391,60,0.3,20,0.725820022,0.267261242,0.218756303,0.50020125,47.5040561,55.84400376,0.162846337,7.038059452,14.69290955,0.545859843,0.01715185
392,60,0.3,20,0.757902263,0.30656967,0.318285768,0.615080006,50.32190572,77.41972889,0.258370331,9.618869392,23.92528993,0.699330824,0.0264548
393,60,0.3,20,0.785582178,0.316227766,0.301975273,0.572957795,47.53784815,70.36185553,0.18517763,6.560475672,23.62891466,0.878578231,0.01934541
394,60,0.3,20,0.697468411,0.229415734,0.207545578,0.502594557,46.11869677,51.08276864,0.159252785,7.074308331,13.0385182,0.446747474,0.01351371
395,60,0.3,20,0.724535006,0.295656198,0.428234729,0.784142904,46.65684802,64.06468146,0.203052162,6.717503481,18.41809715,0.85339879,0.02185179
396,60,0.3,20,0.742659835,0.316227766,0.452962909,0.794179167,47.49257134,67.57838643,0.182905405,4.047484714,15.09773329,1.049819126,0.01543215
397,60,0.3,30,0.805995977,0.577350269,0.367552597,0.636619772,57.88668349,81.61909909,0.235320976,9.746017698,23.62126519,0.616208181,0.03253696
398,60,0.3,30,0.851298292,0.680413817,0.579959658,0.816927334,93.03564993,155.9492551,0.42176047,23.69398144,61.91126867,0.783874414,0.12126
399,60,0.3,30,0.904997185,0.707106781,0.562697698,0.753129277,74.00883063,118.4505316,0.345010977,15.33728183,34.89117736,0.767299529,0.09926499
400,60,0.3,30,0.767663317,0.40824829,0.259898934,0.530516477,53.69621154,75.2186407,0.256829494,12.6009547,30.06271741,0.711609841,0.0327292
401,60,0.3,30,0.807248973,0.440225453,0.314147679,0.572464291,60.39574885,96.363327,0.333111035,15.38852377,51.73899386,0.814301245,0.07784506
402,60,0.3,30,0.849754169,0.447213595,0.284705017,0.509295818,57.60473721,89.24012969,0.262181366,11.62077762,30.76464668,0.695852039,0.05189307
403,60,0.3,30,0.761618473,0.333333333,0.282942121,0.565884242,49.54827384,80.24623157,0.252232184,9.476169562,23.04676414,0.735608547,0.03706912
404,60,0.3,30,0.798975017,0.421075961,0.549819004,0.840001313,65.53396252,113.9889202,0.417413534,13.21287912,38.52371783,0.806141498,0.06946415
405,60,0.3,30,0.836593725,0.447213595,0.569410035,0.821174538,54.10760594,92.74299212,0.343126828,10.59213662,40.49450442,0.834466529,0.05139286
406,60,0.3,30,0.718516797,0.301511345,0.157048432,0.405121673,44.58625578,62.87503215,0.233488599,10.24082007,22.39615539,0.755056109,0.02360254
407,60,0.3,30,0.752255969,0.313727903,0.170552898,0.408827807,49.77012767,68.32996769,0.234927382,9.718837861,24.07354455,0.76069499,0.05146457
408,60,0.3,30,0.784225984,0.316227766,0.150987636,0.361564983,47.07098087,68.8988055,0.253742402,8.234258737,24.67038583,0.856230686,0.03772145
409,60,0.3,30,0.725820022,0.267261242,0.218756303,0.50020125,45.68680934,62.86177503,0.33612257,10.27703014,22.94106243,0.687579537,0.02499851
